1 331
　别动！你是谁？在这里干什么真对不起我以为那些丧尸进来了等要开枪，人类发生事情也知道怎回明白后已经到处都用担心很安全的会好看着9月18日报纸没有特柜子坏掉现出去话危险气像一武器盒老式打字机带色就能保存记录时候被锁住使小屋钥匙地下停车场入口铜门关闭长间过常难闻味面水箱阀上写【冲击大破裂】坠毁直升死堵无法将除非把炸女性浮雕个拳头孔穿铁铠石台暴君2光线中重清理东西架布包油画颗宝转手但还当之神成条凝视红灵魂释放…只物标本书够楼电图室紧急梯按吗 纯洁少举瓶祈祷独角兽迎接她四型堆绣齿轮钟源方移通风跳左右盘案研究籍于药品浣熊市资料雷拉公司办体昂克莱尔吧恩孩刚跑找离讯们随持联络STAR哥必留分寻者得快点相信切桌样格男照片可友模行新各种奖杯射竞赛冠军斯・瑞德菲传整员设备更
2 421
　旧的喷泉写着什么东西【要取得打开你心灵钥匙】我会在这里等待独角兽到来监控用装置无法操作门被电子锁住了徽章已经放上去脑吗？ 不！接室对面能看办公没特别浣熊市警察标志清窗外非常暖炉找炸药话，就堵地方像是丧尸袭击而死头部切掉今天日期9月2圣米迦勒节好候有张照片都些起事吧其他呢克莱尔・雷德菲哥一斯多和们联系、吉还巴…STAR所成员应该相信怎回个前城传闻人类出现墅调查中背后安布拉做生命换结果但快救把卡带大厅知道关件文影资料司报告复印机线断短路坏户封障议周围请勿声喧哗战图使画.烈火永F局长书左「冲洗」纸需殊衣服穿哪手枪原针引爆器直升8值班乔治考发拿记录亡真全想红色数字第134马车男轮那皇国王点燃之时启动下可以刻按镜武库读源停场房边水盖供压过高OK低足备力板5柜腰包右正给昂通光推管理本艾达解除随撞UCLGINYDB谁啊为恩说也反她女儿保护遗憾美身挖小制止错拜托雪莉病毒居然孩父亲从担跟听奖杯猎豹祭牲疼痛骸流淌血汇蛇形埋葬神鹰浴耀眼芒狱石梯蓝草d
3 300
　已经死了有把锯子，上面还血福尔马林、三氯甲烷排放着奇怪的药品只是标本而很难闻气味这梯要下去吗？ 肩膀被撕裂好像从身体内部破出…终于来啊！真不起女士过谁也别想里所人都会在冷静点局长什么事闭嘴你根知道发生安布雷拉毁我美丽城市暗地帮助那G病毒吧告诉当然促进类化武器比T更强大可威廉・帕金杰作他儿恩雪莉再一些情个警察物没能阻止必边乱成团家到现尽全力就们对态度胸口痛怕样时候电锁操板写说明【国王插骑】堡主教头解除住先右滤门打开阿法小队任务完白预定合贮水和用杆处理场图拿取得无找呢非常担心走怎呵相信克莱爸附近听叫名字攻击等但谢为希望待办回其它照顾自己快离继续通往停车路以前施工管洞按关入带才行跑d浣熊员外禁闸风
4 341
　雪莉！你在哪里？ 克莱尔，我这水闸被打开了无法看清面仓库的门锁住要使用别针吗小钥匙下去上型通风口成人是过出堵拿到东西管理道质机器没什么非常旧柜子电线和计量放一起着修工具特往有个油灯好像可以点燃周围昂危险发生事流血…名女性遇麻烦她叫艾达就刚才想干掉枪给击中已经追那很担心之前先关系必须得现地图取梯方排气扇正旋转样从进入多弹射痕迹都利所杀安布雷拉标记行确认装置刻狼鹰印嵌徽章2枚急谁知间谍吧为丈夫G病毒真顽固家伙妮妈失踪们不能说警察局会威廉把城市变狱啊些老鼠扩散作完全类忆虽然帮他时晚仅新目胚胎产物对怎回宿主基因相近造优秀后代如果儿话还求当找压式动力盘来控制吊桥移靠也品绝交带意思晕长蓝色草药圾垃处员尸体调节停止紧解除高瓶情况红拆由于震脱落只按快崩塌死缆车接源板大走怪听种告诉保肚痛需
5 188
　缆车已经启动正在开，不能下！发现了停场的地图要拿吗？ 取得信号弹射机器有个口装置使用过是人注意到这亮光话…控制板上面钥匙孔记载着工管理员日程表好像最近被去雪莉里等我外看就回来恩但快点们走吧墙大洞升降台按关昏安全版【紧急状态时红灯会打一定间内将无法进入】哪呢警告：热立刻止那么送给你相它保护把妈找谢克莱尔直孤单爸总作从没陪玩再也肚子痛振啊如果赶样坚持想办什事担心监视d反锁门住
6 383
　电梯的操作板要按下开关吗？ 现在处于紧急模式无法启动打出口需有MASTER钥匙使用被了去得先把雪莉带过来不能丢一个人这里！已经没时间回怎么事供应源中，你哪呢…升降机尔.局W▷心控制系统所全闭爆炸装置救我克莱他目标是项链扔给好样快跑拿啊就东西吧笨蛋重复：停止员请速到最层月台利列车离・像【加热理炼炉】入内但还反很长醒送相信它保护谢直孤单爸妈从陪玩总忙着工也会睡找些药品马上安手册管研究力主险面部表情缓和倒枪子弹逃知道称职母亲爱原谅们走都满植物器什整干净尸体油床牢锁正生蓝色草ntiBO气喷酒完毕闸门解除大左边封2名以始核对指纹登录确认第其看才G病毒低温实验业盒数据脑巨型积增破坏腹撕运输灯V疫苗合成培养基插记地图妮特房告诉昂监室等那做拜托件想她警备取户存临定消U4小效杀死威廉放交任何丈夫遗留由续承危宿分意识活发更强份文载抗方女儿代各种可盖武柜磁盘片住通往之前5钟后
7 184
　已经没有时间返回了！是打开隧道大门的装置电源，无法要按下关吗？插着高能头 什么用东西5分钟后爆炸供应设施内部和列车动力型发启由于紧急模式暂停止给恢复就会始为使更稳定请同安2个这你谁去死吧怪物引擎操作控制杆不足排放各种样计量仪器被锁住情况在里等我准备救出雪莉必须快点才行警告生化危机泄漏进入强处理即将重：怎事知还研究材料堆积让伴遇到险挡那家伙老字色带可以保存记录但现候
